# Combined LVM export
# delta_x = 1.0
# fs = 1.0
# channels = 18
# ----------------------------------
frequency	UEbertragungsfunktionImaginaerFFTY_0	UEbertragungsfunktionImaginaerFFTY_1	UEbertragungsfunktionImaginaerFFTY_2	UEbertragungsfunktionImaginaerFFTY_3	UEbertragungsfunktionImaginaerFFTY_4	UEbertragungsfunktionImaginaerFFTY_5	UEbertragungsfunktionImaginaerFFTY_6	UEbertragungsfunktionImaginaerFFTY_7	UEbertragungsfunktionImaginaerFFTY_8	UEbertragungsfunktionImaginaerFFTY_9	UEbertragungsfunktionImaginaerFFTY_10	UEbertragungsfunktionImaginaerFFTY_11	UEbertragungsfunktionImaginaerFFTY_12	UEbertragungsfunktionImaginaerFFTY_13	UEbertragungsfunktionImaginaerFFTY_14	UEbertragungsfunktionImaginaerFFTY_15	UEbertragungsfunktionImaginaerFFTY_16	UEbertragungsfunktionImaginaerFFTY_17
4,7	0,258154	-0,404198	-0,288511	0,19281	-0,476725	0,460153	-0,443952	0,499042	-0,677283	0,386107	-0,346613	0,230804	-0,165565	1,010396	-0,384411	0,304203	-0,18074	0,36455
4,75	0,362037	-0,530232	-0,374549	0,251208	-0,615438	0,607495	-0,595826	0,64065	-0,901671	0,602661	-0,478016	0,285901	-0,21912	1,215921	-0,505227	0,39088	-0,236204	0,450966
4,800000000000001	0,558599	-0,728106	-0,505502	0,338384	-0,871021	0,856492	-0,815107	0,851899	-1,166884	0,763704	-0,628756	0,414199	-0,285802	1,421728	-0,725254	0,496659	-0,303231	0,569967
4,8500000000000005	0,802484	-1,00703	-0,735238	0,497429	-1,213331	1,219556	-1,184685	1,238522	-1,528074	1,150621	-0,823012	0,563793	-0,372094	1,583964	-1,050954	0,691925	-0,412168	0,730599
4,9	1,39361	-1,541882	-1,06378	0,770774	-1,925773	1,788979	-1,760697	1,89795	-2,002273	2,23442	-1,149123	0,836696	-0,500034	1,611544	-1,555658	1,200185	-0,573317	0,953315
4,95	2,631724	-2,505576	-1,724198	1,324537	-3,099509	2,567384	-2,497125	2,949018	-2,20371	4,586803	-1,483807	1,367603	-0,599213	1,093548	-2,152866	2,311491	-0,767949	1,124078
5,0	2,77251	-1,619868	-0,75818	0,931939	-2,215307	1,551573	-1,483069	1,856077	-0,825217	7,291414	-0,597944	0,734336	-0,204204	-0,135413	-1,073934	2,39348	-0,32607	0,290243
5,050000000000001	0,681591	-0,170613	0,025011	0,106919	-0,182642	0,267281	-0,218795	0,899738	-0,412372	0,724136	-0,089746	0,149463	-0,048419	0,036778	-0,192492	0,297423	0,06909	-0,005309
5,1000000000000005	0,321331	-0,029795	0,03965	0,049919	-0,054556	0,139125	-0,126568	0,493079	-0,174049	0,052688	-0,062938	0,104714	-0,056098	0,10504	-0,125469	0,111149	0,042016	0,023308
5,15	0,213368	0,015613	0,029284	0,0368	-0,058032	0,106962	-0,090186	0,215272	-0,061259	-0,361064	-0,057656	0,078102	-0,04327	0,098935	-0,086749	0,09397	0,026162	0,031327
5,2	0,142051	0,005673	0,025188	0,02149	-0,039683	0,082945	-0,070013	0,152125	-0,058167	-0,266918	-0,025649	0,073047	-0,037363	0,096713	-0,04376	0,084958	0,017103	0,032144
5,25	0,106064	0,045165	0,033505	0,023515	-0,027359	0,071858	-0,05368	0,115748	-0,046323	-0,024229	-0,013038	0,071653	-0,034533	0,096561	-0,01538	0,068433	0,01498	0,031679
5,300000000000001	0,107901	0,033738	0,028954	0,032795	-0,007351	0,066196	-0,040562	0,083417	-0,025409	-0,374721	-0,013239	0,060283	-0,029266	0,086326	0,001875	0,045519	0,012032	0,031233
5,3500000000000005	0,081226	0,035561	0,021994	0,018748	-0,023215	0,063019	-0,026512	0,073753	-0,043925	-0,227597	-0,01248	0,045982	-0,023555	0,0767	0,01236	0,066763	0,019852	0,027761
5,4	0,086089	0,030797	0,027767	0,022852	-0,00623	0,054215	-0,008278	0,059269	-0,010659	-0,072409	-0,004382	0,046936	-0,017972	0,055142	-0,004416	0,073887	0,021187	0,02668
5,45	0,066254	0,032358	0,028395	0,01804	0,002663	0,051096	-0,005357	0,056556	-0,012154	-0,205536	-0,009803	0,039711	-0,014905	0,042234	0,008392	0,069087	0,025252	0,02348
5,5	0,066251	0,031916	0,031883	0,020216	-0,012936	0,051433	0,011934	0,002143	-0,000126	-0,176767	-0,01175	0,031196	-0,020328	0,04273	0,006352	0,064093	0,031125	0,024404
5,550000000000001	0,071407	0,024582	0,031802	0,013331	-0,00447	0,040735	0,017568	0,01411	0,000444	-0,097463	0,002323	0,0369	-0,015375	0,050127	0,018792	0,059883	0,031198	0,015551
5,6000000000000005	0,05909	0,041708	0,031996	0,019977	0,001197	0,029475	0,034399	0,063935	0,002313	-0,159189	-0,004152	0,043173	-0,010505	0,049011	0,029928	0,049909	0,034885	0,020663
5,65	0,070076	0,047612	0,023803	0,0208	0,005842	0,037824	0,027553	0,066894	0,004902	-0,125441	0,005828	0,038575	-0,006295	0,053495	0,040514	0,052169	0,035197	0,026496
5,7	0,058287	0,055169	0,027291	0,020046	0,018659	0,032982	0,031477	0,041586	0,007704	-0,156631	0,011294	0,051518	0,00226	0,076718	0,045317	0,051992	0,033296	0,038095
5,75	0,048999	0,061408	0,014638	0,011372	0,013568	0,038498	0,032366	0,066064	0,006893	-0,108601	0,014917	0,054602	0,009364	0,102079	0,040153	0,054107	0,035699	0,039387
5,800000000000001	0,059321	0,042839	0,008824	0,013479	-0,003682	0,030568	0,022558	0,085826	0,014885	-0,054404	0,019226	0,050159	0,009533	0,09581	0,034717	0,029569	0,027649	0,030735
