# Combined LVM export
# delta_x = 1.0
# fs = 1.0
# channels = 18
# ----------------------------------
frequency	UEBERTRAGUNGSFUNKTIONFFTY_0	UEBERTRAGUNGSFUNKTIONFFTY_1	UEBERTRAGUNGSFUNKTIONFFTY_2	UEBERTRAGUNGSFUNKTIONFFTY_3	UEBERTRAGUNGSFUNKTIONFFTY_4	UEBERTRAGUNGSFUNKTIONFFTY_5	UEBERTRAGUNGSFUNKTIONFFTY_6	UEBERTRAGUNGSFUNKTIONFFTY_7	UEBERTRAGUNGSFUNKTIONFFTY_8	UEBERTRAGUNGSFUNKTIONFFTY_9	UEBERTRAGUNGSFUNKTIONFFTY_10	UEBERTRAGUNGSFUNKTIONFFTY_11	UEBERTRAGUNGSFUNKTIONFFTY_12	UEBERTRAGUNGSFUNKTIONFFTY_13	UEBERTRAGUNGSFUNKTIONFFTY_14	UEBERTRAGUNGSFUNKTIONFFTY_15	UEBERTRAGUNGSFUNKTIONFFTY_16	UEBERTRAGUNGSFUNKTIONFFTY_17
2,4000000000000004	0,158454	0,065046	0,03421	0,084359	0,032443	0,2008	0,1615	0,020597	0,198057	0,021207	0,29391	0,02539	0,113168	0,116537	0,129765	0,075421	0,079716	0,053772
2,45	0,17258	0,068919	0,032536	0,103865	0,052674	0,21332	0,176478	0,034715	0,226687	0,0385	0,295095	0,034314	0,125192	0,117701	0,151369	0,105202	0,075437	0,0604
2,5	0,182876	0,074289	0,051064	0,108238	0,062171	0,211429	0,195173	0,038905	0,255829	0,05863	0,304762	0,030051	0,134874	0,127382	0,15227	0,113557	0,101539	0,0617
2,5500000000000003	0,192777	0,087658	0,044109	0,114272	0,077373	0,271548	0,238969	0,045329	0,262034	0,06644	0,342626	0,036101	0,151543	0,135269	0,18765	0,133875	0,119369	0,064815
2,6	0,217301	0,089654	0,043149	0,131919	0,096694	0,283186	0,262107	0,070228	0,329077	0,023188	0,375651	0,02099	0,167871	0,156847	0,2192	0,146595	0,136078	0,06755
2,6500000000000004	0,243856	0,086104	0,065511	0,151212	0,121821	0,320242	0,320492	0,104754	0,368561	0,033433	0,404922	0,030993	0,195051	0,183182	0,248245	0,154712	0,160996	0,077258
2,7	0,250892	0,110691	0,089027	0,153948	0,161855	0,351671	0,385835	0,141761	0,405533	0,11515	0,452322	0,04013	0,218332	0,197019	0,297105	0,181902	0,187676	0,100566
2,75	0,281105	0,149912	0,090274	0,173055	0,209254	0,417225	0,449729	0,151186	0,472285	0,041651	0,523487	0,078649	0,265553	0,231927	0,35161	0,198746	0,224486	0,129154
2,8000000000000003	0,322362	0,201036	0,125617	0,194015	0,266614	0,478159	0,489776	0,273844	0,588144	0,093662	0,575062	0,125638	0,304085	0,315654	0,412828	0,222678	0,260592	0,173035
2,85	0,356102	0,291004	0,140815	0,222184	0,328745	0,530241	0,560463	0,350607	0,611276	0,057283	0,645786	0,192101	0,370347	0,447863	0,491679	0,238495	0,301077	0,224888
2,9000000000000004	0,418302	0,416456	0,166134	0,2582	0,39224	0,628712	0,645236	0,428647	0,723226	0,060374	0,732954	0,281801	0,437439	0,575617	0,574333	0,283348	0,356394	0,276348
2,95	0,48808	0,560705	0,233332	0,313658	0,518574	0,732165	0,732179	0,697888	0,8762	0,326525	0,805842	0,406283	0,533032	0,684186	0,631752	0,372176	0,407334	0,333596
3,0	0,600349	0,700658	0,321922	0,378616	0,732341	0,875288	0,882242	1,183074	1,017544	0,401899	0,926376	0,516258	0,607011	0,687787	0,745785	0,56442	0,484425	0,378113
3,0500000000000003	0,818109	0,849342	0,446925	0,494697	1,065928	1,127115	1,124421	1,577983	1,103	0,498059	0,913435	0,611979	0,48967	0,597583	0,95017	0,801391	0,59069	0,434955
3,1	1,151663	0,944765	0,655467	0,705901	1,503971	1,540915	1,192925	1,45983	1,169099	1,177673	0,656737	0,546686	0,223416	0,400289	1,023419	1,034967	0,586843	0,437836
3,1500000000000004	1,790004	1,154655	0,726149	1,067538	1,842621	2,402169	1,767265	1,445168	1,817254	2,097186	1,259288	0,457169	0,617844	0,328941	1,366521	0,80194	0,763322	0,396086
3,2	3,441025	1,963542	1,192667	1,99645	2,899653	4,13794	3,405195	2,113951	3,09311	0,174856	2,071712	0,86077	1,124717	0,512431	2,619693	0,914015	1,393194	0,593661
3,25	2,566095	1,349845	0,714951	1,431545	1,635602	2,497778	1,931613	0,562471	0,981048	1,139299	0,56086	0,279895	0,456843	0,053126	1,330747	0,396647	0,676856	0,207738
3,3000000000000003	1,100071	0,480046	0,223122	0,585796	0,483268	1,178524	1,036378	0,211604	0,619307	0,121166	0,366127	0,005492	0,324	0,149342	0,720491	0,15004	0,353514	0,030626
3,35	0,7843	0,27596	0,125081	0,374565	0,247222	0,822767	0,789271	0,028371	0,459766	0,280466	0,334799	0,092245	0,264777	0,146302	0,54806	0,132825	0,271381	0,046611
3,4000000000000004	0,58534	0,25366	0,079311	0,273946	0,172893	0,611994	0,663421	0,124869	0,381504	0,016631	0,264834	0,095137	0,232632	0,125449	0,450214	0,139639	0,241244	0,058868
3,45	0,466833	0,227081	0,057241	0,206221	0,159092	0,469025	0,592599	0,129546	0,351198	0,294636	0,204995	0,092054	0,192108	0,146341	0,43008	0,167783	0,225637	0,062732
3,5	0,418345	0,23227	0,068718	0,17918	0,162297	0,396053	0,551526	0,07843	0,305293	0,061777	0,189837	0,100286	0,171456	0,1499	0,407635	0,135932	0,211111	0,056774
3,5500000000000003	0,334097	0,188538	0,069732	0,143011	0,17506	0,332592	0,511654	0,128974	0,275361	0,115604	0,136895	0,097669	0,155144	0,125403	0,377227	0,119998	0,197459	0,056217
3,6	0,262126	0,143861	0,092096	0,130175	0,188524	0,274268	0,473933	0,129887	0,236196	0,089472	0,092375	0,092455	0,139952	0,093004	0,352959	0,089809	0,187216	0,052264
3,6500000000000004	0,243716	0,119142	0,092921	0,118107	0,166428	0,236791	0,452947	0,101041	0,200937	0,051776	0,070538	0,090839	0,131113	0,097472	0,367781	0,066964	0,182878	0,051924
3,7	0,204435	0,114515	0,098206	0,093231	0,167249	0,20876	0,436126	0,117516	0,191312	0,148664	0,047152	0,090527	0,122591	0,124419	0,347047	0,081625	0,17387	0,06923
3,75	0,180232	0,126732	0,098111	0,093536	0,180463	0,187796	0,430791	0,16735	0,156786	0,15501	0,030809	0,084368	0,111192	0,166094	0,348783	0,064381	0,165237	0,072672
3,8000000000000003	0,159852	0,147394	0,105511	0,072347	0,193283	0,173819	0,432246	0,189145	0,140344	0,141138	0,042774	0,075452	0,103899	0,188209	0,343984	0,071338	0,170947	0,075163
3,85	0,125273	0,169913	0,102432	0,064076	0,206384	0,160737	0,42973	0,182699	0,089652	0,27192	0,052704	0,07187	0,087682	0,199427	0,355339	0,055643	0,16389	0,079133
3,9000000000000004	0,104321	0,186605	0,105845	0,054953	0,21872	0,145915	0,434565	0,188997	0,101419	0,282551	0,055562	0,084153	0,082594	0,209989	0,344662	0,060873	0,156841	0,087889
3,95	0,075368	0,208725	0,107463	0,043516	0,234521	0,135832	0,457814	0,230207	0,079618	0,217686	0,058694	0,100579	0,072071	0,215083	0,332389	0,074941	0,164896	0,092037
4,0	0,072665	0,203097	0,118332	0,036296	0,249243	0,119152	0,459767	0,254665	0,088059	0,221121	0,073017	0,108425	0,058555	0,238644	0,329124	0,096327	0,156826	0,101048
4,05	0,052773	0,220137	0,117669	0,028461	0,264521	0,10889	0,457083	0,21287	0,092002	0,316888	0,073691	0,118429	0,053611	0,261724	0,345163	0,108847	0,16286	0,107766
4,1000000000000005	0,035077	0,215155	0,12289	0,024917	0,257897	0,097037	0,447986	0,254749	0,101843	0,240074	0,095862	0,132761	0,045759	0,297772	0,341582	0,127262	0,173615	0,119321
4,15	0,046269	0,221268	0,130831	0,033757	0,274134	0,091215	0,436984	0,286595	0,118549	0,254967	0,119277	0,139449	0,037357	0,331068	0,34437	0,151	0,171776	0,133899
4,2	0,042247	0,227956	0,135405	0,037672	0,281427	0,105253	0,450926	0,290444	0,15764	0,297664	0,139527	0,143452	0,034649	0,370822	0,368798	0,164721	0,176832	0,138474
4,25	0,071384	0,239682	0,150104	0,044777	0,290465	0,108248	0,451819	0,298505	0,181978	0,253675	0,162026	0,150348	0,036875	0,391705	0,373488	0,172962	0,18438	0,15409
4,3	0,103501	0,256693	0,171398	0,048983	0,336133	0,13268	0,479755	0,325668	0,222803	0,348258	0,197613	0,167828	0,038174	0,418612	0,383215	0,198387	0,185446	0,170533
4,3500000000000005	0,130692	0,297487	0,19006	0,063464	0,362705	0,144346	0,496726	0,366015	0,251459	0,37761	0,21198	0,170899	0,045712	0,452979	0,392808	0,200621	0,191202	0,186443
4,4	0,154939	0,313571	0,202729	0,085481	0,399488	0,1745	0,554063	0,387346	0,299195	0,524681	0,22891	0,182949	0,048463	0,523241	0,421372	0,244528	0,198548	0,208498
4,45	0,19489	0,362428	0,231472	0,112739	0,437032	0,205575	0,586129	0,424871	0,346748	0,544808	0,263349	0,201723	0,062746	0,597361	0,439765	0,267297	0,202504	0,232651
4,5	0,246927	0,401273	0,246782	0,135059	0,494688	0,255402	0,619188	0,520528	0,401048	0,58542	0,28049	0,232559	0,080504	0,673733	0,478865	0,273061	0,214501	0,258629
4,55	0,282438	0,464832	0,288614	0,161891	0,559672	0,309964	0,667212	0,558551	0,474064	0,629521	0,310941	0,252196	0,099684	0,750119	0,526581	0,328248	0,226056	0,293651
4,6000000000000005	0,370316	0,519863	0,314809	0,196099	0,633678	0,395619	0,716647	0,604409	0,566902	0,762352	0,365928	0,29517	0,116493	0,836189	0,58226	0,373615	0,240335	0,331351
4,65	0,462045	0,602515	0,371666	0,235978	0,736508	0,502343	0,782223	0,707631	0,677619	0,909977	0,43614	0,336931	0,150293	0,921596	0,645667	0,457082	0,260971	0,380175
4,7	0,551961	0,685472	0,437989	0,300478	0,853488	0,628771	0,883281	0,856325	0,805824	1,009048	0,477265	0,378335	0,180164	1,066207	0,734616	0,550938	0,284676	0,442653
4,75	0,723822	0,809457	0,537545	0,369925	1,014297	0,792125	1,015557	1,009294	1,018193	1,369179	0,599765	0,448995	0,233216	1,236287	0,865635	0,664217	0,323582	0,514911
4,800000000000001	0,951173	1,017768	0,642862	0,460258	1,26106	1,036897	1,213345	1,212347	1,231107	1,582333	0,740656	0,558031	0,294737	1,421918	1,043097	0,784337	0,373644	0,613537
4,8500000000000005	1,201224	1,246738	0,852213	0,612485	1,557265	1,358814	1,483344	1,556359	1,552033	2,166361	0,888934	0,675441	0,374933	1,620925	1,287796	1,030816	0,455778	0,748416
4,9	1,781937	1,694992	1,125959	0,850031	2,145517	1,84075	1,894552	2,115486	2,010717	3,298815	1,157093	0,910018	0,501751	1,853987	1,64879	1,502671	0,58402	0,953619
4,95	2,705625	2,50561	1,732591	1,326195	3,10176	2,596957	2,500577	2,949426	2,557235	4,960072	1,549129	1,368171	0,67683	2,015028	2,169884	2,391542	0,79179	1,247258
5,0	3,460032	2,778107	1,97152	1,658786	3,574287	2,850021	2,548475	2,677148	2,041646	8,109955	1,403572	1,411235	0,64082	1,393686	2,092505	3,131045	0,909613	1,221216
5,050000000000001	1,907935	1,406494	0,848208	0,794485	1,805206	1,56884	1,24187	1,71371	1,566479	3,996242	0,661074	0,687309	0,364841	0,802515	1,018207	1,522469	0,376211	0,563974
5,1000000000000005	1,292881	0,931222	0,545913	0,558927	1,182445	1,138864	0,789918	1,354195	1,265261	2,435111	0,515997	0,497169	0,289065	0,721783	0,714211	0,930146	0,241385	0,414528
5,15	1,000493	0,744096	0,447402	0,445649	0,907982	0,941386	0,603786	1,021246	1,020655	1,84813	0,403605	0,373439	0,252598	0,656015	0,598554	0,709112	0,178528	0,348815
5,2	0,858922	0,625587	0,363444	0,389766	0,769874	0,811519	0,484541	0,83825	0,86911	1,256201	0,335433	0,309552	0,231371	0,590047	0,474681	0,584905	0,139102	0,304778
5,25	0,739315	0,554201	0,320184	0,337255	0,647524	0,732996	0,414915	0,660078	0,795831	1,158265	0,307453	0,277144	0,209311	0,532769	0,410314	0,522336	0,122719	0,274572
5,300000000000001	0,672131	0,477982	0,282778	0,310377	0,584694	0,668949	0,368171	0,566845	0,730524	1,170599	0,268565	0,238067	0,194804	0,486974	0,336183	0,464648	0,101037	0,257223
5,3500000000000005	0,615817	0,434067	0,257826	0,280507	0,528323	0,621044	0,320727	0,557466	0,666074	0,733279	0,237649	0,207155	0,183761	0,453726	0,292085	0,415664	0,090935	0,236629
5,4	0,582343	0,397344	0,231196	0,264198	0,476723	0,575742	0,279208	0,501609	0,637253	0,779901	0,231329	0,202788	0,170947	0,425023	0,251806	0,378167	0,085817	0,218201
5,45	0,531228	0,344925	0,21167	0,241756	0,430694	0,539559	0,251674	0,427309	0,594886	0,780745	0,214335	0,19344	0,161163	0,400641	0,227823	0,34856	0,068023	0,212753
5,5	0,49996	0,319294	0,20025	0,22625	0,400328	0,519748	0,23275	0,398391	0,564954	0,588542	0,197338	0,177927	0,15641	0,385696	0,201305	0,344504	0,068737	0,2007
5,550000000000001	0,479582	0,287535	0,185283	0,217703	0,361981	0,504031	0,197575	0,422954	0,543074	0,590845	0,182606	0,163685	0,151067	0,386196	0,186136	0,321634	0,055775	0,1916
5,6000000000000005	0,444094	0,258947	0,169536	0,208871	0,342378	0,474566	0,181186	0,41494	0,51061	0,541769	0,175704	0,171271	0,148657	0,387403	0,164766	0,298534	0,053123	0,181365
5,65	0,428601	0,239569	0,154261	0,19518	0,308873	0,461927	0,154347	0,388736	0,497867	0,511582	0,156026	0,161974	0,146021	0,378608	0,155924	0,31594	0,044279	0,17513
5,7	0,420996	0,203293	0,142859	0,192908	0,269739	0,445809	0,122353	0,377976	0,469214	0,436719	0,137728	0,155449	0,140802	0,356722	0,130868	0,287592	0,036631	0,175767
5,75	0,395235	0,179737	0,124177	0,185679	0,237949	0,438642	0,108924	0,406023	0,45106	0,358119	0,128105	0,164811	0,130395	0,346535	0,108143	0,30372	0,035829	0,185382
5,800000000000001	0,388752	0,1496	0,119772	0,185425	0,209516	0,433206	0,081985	0,400644	0,416249	0,385182	0,109112	0,165555	0,114646	0,349512	0,09435	0,285676	0,02788	0,197584
5,8500000000000005	0,375097	0,128759	0,108006	0,180951	0,180035	0,421248	0,065385	0,357062	0,408552	0,4205	0,097292	0,17059	0,097078	0,362422	0,084682	0,288846	0,018173	0,204202
5,9	0,359794	0,117895	0,110655	0,171522	0,187856	0,424391	0,043216	0,367657	0,403453	0,339032	0,083302	0,163106	0,086895	0,350861	0,077689	0,279849	0,01781	0,19502
5,95	0,363947	0,148077	0,113565	0,169334	0,221363	0,410003	0,045567	0,389198	0,38327	0,386381	0,076997	0,145002	0,095137	0,322946	0,067531	0,288626	0,01541	0,172361
6,0	0,348503	0,19332	0,115482	0,16107	0,252594	0,403309	0,031957	0,302791	0,383974	0,338733	0,079438	0,13627	0,113414	0,2745	0,051725	0,268492	0,010721	0,145439
6,050000000000001	0,332912	0,225235	0,128195	0,162013	0,282104	0,402264	0,042435	0,248816	0,370819	0,299178	0,08521	0,112716	0,133165	0,274219	0,063642	0,272547	0,014152	0,116301
6,1000000000000005	0,337873	0,238188	0,140488	0,15389	0,310017	0,393521	0,051464	0,254479	0,369785	0,364155	0,099509	0,082275	0,135386	0,298927	0,071969	0,256187	0,016879	0,108642
6,15	0,329093	0,233497	0,150281	0,14863	0,316143	0,391632	0,065771	0,228524	0,365973	0,271428	0,102013	0,076916	0,114482	0,297491	0,092044	0,227442	0,0183	0,117343
