"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.946755625E0,1.345701599E-1,2.656974792E-1,9.816137238E0
1.956826625E0,1.347198486E-1,2.447410583E-1,9.801916809E0
1.966896625E0,1.332229614E-1,2.270777893E-1,9.800419922E0
1.976966625E0,1.375639343E-1,2.143542480E-1,9.800719299E0
1.987038000E0,1.305285645E-1,2.409988403E-1,9.811496887E0
1.997108000E0,1.353186035E-1,2.725831604E-1,9.822573853E0
2.007179000E0,1.378633118E-1,2.978805542E-1,9.821226654E0
2.017249000E0,1.315763855E-1,2.872526550E-1,9.825118561E0
2.027319000E0,1.381626892E-1,2.550695801E-1,9.814490662E0
2.037390000E0,1.360670471E-1,2.212399292E-1,9.805209961E0
2.047460000E0,1.335223389E-1,2.025288391E-1,9.798773346E0
2.057531000E0,1.408570862E-1,2.044747925E-1,9.798473969E0
2.067601000E0,1.326242065E-1,2.119592285E-1,9.799970856E0
2.077671000E0,1.341210938E-1,2.368075562E-1,9.808652802E0
2.087742000E0,1.375639343E-1,2.656974792E-1,9.811646576E0
2.097812000E0,1.341210938E-1,2.671943665E-1,9.804162140E0
2.107882000E0,1.402583313E-1,2.630030823E-1,9.811796265E0
2.117953000E0,1.356179810E-1,2.495310974E-1,9.809401245E0
2.128023000E0,1.308279419E-1,2.374063110E-1,9.803862762E0
2.138094000E0,1.348695374E-1,2.335144043E-1,9.804760895E0
2.148164000E0,1.278341675E-1,2.348616028E-1,9.805958405E0
2.158234000E0,1.335223389E-1,2.538720703E-1,9.812095642E0
2.168305000E0,1.342707825E-1,2.550695801E-1,9.815089417E0
2.178375000E0,1.380130005E-1,2.495310974E-1,9.818681946E0
2.188446000E0,1.389111328E-1,2.538720703E-1,9.833800507E0
2.198516000E0,1.273851013E-1,2.555186462E-1,9.820029144E0
2.208587000E0,1.336720276E-1,2.658471680E-1,9.819131012E0
2.218657000E0,1.425036621E-1,2.510279846E-1,9.814041595E0
2.228727000E0,1.387614441E-1,2.561174011E-1,9.810000000E0
2.238798000E0,1.432521057E-1,2.486329651E-1,9.809850311E0
2.248868000E0,1.377136230E-1,2.460882568E-1,9.812095642E0
2.258939000E0,1.383123779E-1,2.411485291E-1,9.816885681E0
2.269009000E0,1.392105103E-1,2.441423035E-1,9.816286926E0
2.279079000E0,1.315763855E-1,2.381547546E-1,9.818083191E0
2.289150000E0,1.392105103E-1,2.486329651E-1,9.818382568E0
2.299220000E0,1.372645569E-1,2.621049500E-1,9.821825409E0
2.309291000E0,1.356179810E-1,2.522254944E-1,9.820178833E0
2.319361000E0,1.401086426E-1,2.420466614E-1,9.808353424E0
2.329431000E0,1.308279419E-1,2.369572449E-1,9.815837860E0
2.339502000E0,1.383123779E-1,2.353106689E-1,9.807604980E0
2.349572000E0,1.309776306E-1,2.457888794E-1,9.824669495E0
2.359643000E0,1.300794983E-1,2.612068176E-1,9.799970856E0
2.369713000E0,1.306782532E-1,2.691403198E-1,9.823771362E0
2.379783000E0,1.257385254E-1,2.580633545E-1,9.813891907E0
2.389854000E0,1.383123779E-1,2.513273621E-1,9.821226654E0
2.399924000E0,1.314266968E-1,2.472857666E-1,9.811646576E0
2.409995000E0,1.392105103E-1,2.387535095E-1,9.809251556E0
2.420065000E0,1.372645569E-1,2.278262329E-1,9.823172607E0
2.430135000E0,1.335223389E-1,2.411485291E-1,9.807006226E0
2.440206000E0,1.251397705E-1,2.487826538E-1,9.826914825E0
2.450276000E0,1.306782532E-1,2.496807861E-1,9.802665253E0
2.460347000E0,1.377136230E-1,2.603086853E-1,9.825268250E0
2.470417000E0,1.287322998E-1,2.662962341E-1,9.804611206E0
2.480488000E0,-4.595443726E-2,2.308200073E-1,9.818232880E0
2.490558000E0,-1.978884888E-1,3.879931641E-1,9.825268250E0
