"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.336474167E0,7.156378031E-2,1.791937500E-1,-2.667111158E-1
3.346545167E0,7.534679770E-2,1.897486597E-1,-1.943823248E-1
3.356615167E0,-1.215576753E-1,-2.692988515E-1,-1.004649252E-1
3.366686167E0,2.080106735E-2,6.242184713E-2,-3.028104454E-2
3.376756167E0,3.588090837E-2,6.015566364E-2,-5.581662059E-2
3.386826167E0,-3.251439333E-2,-5.593498796E-2,-3.224151582E-2
3.396897167E0,5.322280806E-3,4.640002921E-2,5.928304046E-2
3.406967167E0,1.907084882E-2,-2.241818421E-2,2.021557689E-1
3.417038167E0,3.002616018E-2,5.430005025E-3,3.462352753E-1
3.427108167E0,3.514368832E-2,1.330470573E-2,3.783042729E-1
3.437179167E0,-1.528865192E-3,-2.305457368E-2,3.212579191E-1
3.447249167E0,-2.191935852E-2,-5.618109927E-2,2.045765817E-1
3.457320167E0,-1.245161891E-2,1.371108741E-2,1.232248545E-1
3.467390167E0,5.334302317E-3,2.631889656E-4,1.521925777E-1
3.477461167E0,-1.834584400E-2,1.305553038E-2,1.481562257E-1
3.487531167E0,-1.605712250E-2,-3.515354544E-2,1.373435259E-1
3.497601167E0,5.165687762E-4,-2.611095086E-2,1.633395553E-1
3.507672167E0,2.456837520E-2,3.028574586E-2,1.197326928E-1
3.517742167E0,3.751146421E-2,3.211849928E-2,9.901791066E-2
3.527813167E0,1.145482715E-2,-7.759673521E-3,9.997585416E-2
3.537883167E0,1.418102533E-2,-1.324298698E-2,5.151487142E-2
3.547954167E0,1.408408582E-2,4.074483644E-3,4.911030456E-2
3.558024167E0,-1.087714639E-2,2.998474985E-2,3.014259413E-2
3.568095167E0,2.002644166E-2,1.642153412E-2,-2.479469031E-2
3.578165167E0,5.680545419E-2,-1.171943732E-3,-6.609058380E-2
3.588236167E0,7.895859890E-4,8.935529739E-2,-8.543737978E-2
3.598306167E0,5.857137032E-3,4.466180690E-3,-7.336689532E-2
3.608376167E0,1.895520836E-5,2.498024330E-2,-3.515639156E-2
3.618447167E0,-2.646882553E-3,6.027286872E-6,-3.254620824E-4
3.628517167E0,2.806921862E-2,4.018966481E-2,1.299886592E-2
3.638588167E0,6.614208687E-3,4.002021626E-2,-8.267192543E-2
3.648658167E0,-7.239022758E-3,1.930886996E-3,-1.481020749E-1
3.658729167E0,-1.288581360E-2,-1.230952516E-2,-1.514898539E-1
3.668799167E0,1.067384146E-2,5.044227093E-2,-1.117688119E-1
3.678870167E0,-1.023867540E-2,1.201384119E-3,-1.288821399E-1
3.688940167E0,8.287604898E-3,2.283823676E-2,-1.367379278E-1
3.699011167E0,9.155647829E-3,2.825473249E-2,-1.501412690E-1
3.709081167E0,7.755356375E-3,1.809690334E-2,-1.370427758E-1
3.719152167E0,1.087769959E-2,3.473759443E-2,-1.259702891E-1
3.729222167E0,-2.292164136E-3,-5.113414954E-3,-9.621345997E-2
3.739292167E0,-4.947417881E-3,-1.109490870E-3,-6.557402760E-2
3.749363167E0,-1.687518321E-2,-3.315744177E-2,-4.840808734E-2
