Time - Acceleration	Amplitude - Acceleration
0,44502	-0,000638699
0,445625	-0,00105305
0,44623	-0,000971985
0,446836	-0,000917939
0,447441	-0,00117016
0,448047	-0,00102003
0,448652	-0,000716766
0,449258	-0,000983995
0,449863	-0,00121219
0,450469	-0,00127224
0,451074	-0,000993003
0,45168	-0,00102303
0,452285	-0,00105606
0,452891	-0,00108308
0,453496	-0,00108308
0,454102	-0,000999008
0,454707	-0,00104705
0,455313	-0,00124222
0,455918	-0,00106506
0,456523	-0,000857887
0,457129	-0,00114313
0,457734	-0,00096598
0,45834	-0,00108008
0,458945	-0,00119418
0,459551	-0,00103504
0,460156	-0,00135331
0,460762	-0,000920941
0,461367	-0,0011041
0,461973	-0,000857887
0,462578	-0,00102903
0,463184	-0,00102003
0,463789	-0,00100501
0,464395	-0,00111311
0,465	-0,00114013
0,465605	-0,00116415
0,466211	-0,000993003
0,466816	-0,00111911
0,467422	-0,000917939
0,468027	-0,000941959
0,468633	-0,00115214
0,469238	-0,00108308
0,469844	-0,00105906
0,470449	-0,00103204
0,471055	-0,00114313
0,47166	-0,00107708
0,472266	-0,0011071
0,472871	-0,0012182
0,473477	-0,00104405
0,474082	-0,00105005
0,474687	-0,00127224
0,475293	-0,00130827
0,475898	-0,00120919
0,476504	-0,00108909
0,477109	-0,00112211
0,477715	-0,00120919
0,47832	-0,00118817
0,478926	-0,000999008
0,479531	-0,00132629
0,480137	-0,00128726
0,480742	-0,00150344
0,481348	-0,00123621
0,481953	-0,0012212
0,482559	-0,00136532
0,483164	-0,00127825
0,48377	-0,00117616
0,484375	-0,00115814
0,48498	-0,00141937
0,485586	-0,0012212
0,486191	-0,00136232
0,486797	-0,0012182
0,487402	-0,00114914
0,488008	-0,00127224
0,488613	-0,00143438
0,489219	-0,00143138
0,489824	-0,00137133
0,49043	-0,00123021
0,491035	-0,00119718
0,491641	-0,00138934
0,492246	-0,00117016
0,492852	-0,000990001
0,493457	-0,00121219
0,494063	-0,00135932
0,494668	-0,00128125
0,495273	-0,00125423
0,495879	-0,00118817
0,496484	-0,00126324
0,49709	-0,00121519
0,497695	-0,00117616
0,498301	-0,00135631
0,498906	-0,00106807
0,499512	-0,00129026
0,500117	-0,00118817
0,500723	-0,00139835
0,501328	-0,00106206
0,501934	-0,00138934
0,502539	-0,0012272
0,503145	-0,00121519
0,50375	-0,00124822
0,504355	-0,00115514
0,504961	-0,00126624
0,505566	-0,0012272
0,506172	-0,00132629
0,506777	-0,00119117
0,507383	-0,00121219
0,507988	-0,000947964
0,508594	-0,00124222
0,509199	-0,00112812
0,509805	-0,00101102
0,51041	-0,00113112
0,511016	-0,00127825
0,511621	-0,0012212
0,512227	-0,000996006
0,512832	-0,000968983
0,513437	-0,00115814
0,514043	-0,000944962
0,514648	-0,000932952
0,515254	-0,00120919
0,515859	-0,00103204
0,516465	-0,0012272
0,51707	-0,00111911
0,517676	-0,00117016
0,518281	-0,00106807
0,518887	-0,000950967
0,519492	-0,00113112
0,520098	-0,000911934
0,520703	-0,000887913
0,521309	-0,000743789
0,521914	-0,000812849
0,52252	-0,000902926
0,523125	-0,000863892
0,52373	-0,000635697
0,524336	-0,00077982
0,524941	-0,000824859
0,525547	-0,000821856
0,526152	-0,000887913
0,526758	-0,000710761
0,527363	-0,000677733
0,527969	-0,000812849
0,528574	-0,000866895
0,52918	-0,000683738
0,529785	-0,000986998
0,530391	-0,000641702
0,530996	-0,00088491
0,531602	-0,000911934
0,532207	-0,000788828
0,532813	-0,000830864
0,533418	-0,000500581
0,534023	-0,000776818
0,534629	-0,00077982
0,535234	-0,000857887
0,53584	-0,000656715
0,536445	-0,000497578
0,537051	-0,000761805
0,537656	-0,000752797
0,538262	-0,000695748
0,538867	-0,000728776
0,539473	-0,000527604
0,540078	-0,000704756
0,540684	-0,00037147
0,541289	-0,000830864
0,541895	-0,000704756
0,5425	-0,000770812
0,543105	-0,000587655
0,543711	-0,000656715
0,544316	-0,000800838
0,544922	-0,000821856
0,545527	-0,000794833
0,546133	-0,000692745
0,546738	-0,000833867
0,547344	-0,000788828
0,547949	-0,000743789
0,548555	-0,000761805
0,54916	-0,000785825
0,549766	-0,000641702
0,550371	-0,000509588
0,550977	-0,000878905
0,551582	-0,000941959
0,552187	-0,000833867
0,552793	-0,000821856
0,553398	-0,00104104
0,554004	-0,000821856
0,554609	-0,000881908
0,555215	-0,000719769
0,55582	-0,000845877
0,556426	-0,000986998
0,557031	-0,00112812
0,557637	-0,00108308
0,558242	-0,00113713
0,558848	-0,000935954
0,559453	-0,00100201
0,560059	-0,00114613
0,560664	-0,00100201
0,56127	-0,000971985
0,561875	-0,000996006
0,56248	-0,00105305
0,563086	-0,0013353
0,563691	-0,00133229
0,564297	-0,00108308
0,564902	-0,00130227
0,565508	-0,00130227
0,566113	-0,00116415
0,566719	-0,00120018
0,567324	-0,00103504
0,56793	-0,0012242
0,568535	-0,00114613
0,569141	-0,00123021
0,569746	-0,00129626
0,570352	-0,00113412
0,570957	-0,0013353
0,571562	-0,00130527
0,572168	-0,0012212
0,572773	-0,00130827
0,573379	-0,00153647
0,573984	-0,00112512
0,57459	-0,0013353
0,575195	-0,00137433
0,575801	-0,00128425
0,576406	-0,00137433
0,577012	-0,00152746
0,577617	-0,00141937
0,578223	-0,00121519
0,578828	-0,0012242
0,579434	-0,00120619
0,580039	-0,00132929
0,580645	-0,00141937
0,58125	-0,00144039
0,581855	-0,00139235
0,582461	-0,0014554
0,583066	-0,00153947
0,583672	-0,00142838
0,584277	-0,00135331
0,584883	-0,0014554
0,585488	-0,00133229
0,586094	-0,00150344
0,586699	-0,00141336
0,587305	-0,00135031
0,58791	-0,0014524
0,588516	-0,00120919
0,589121	-0,00136232
0,589727	-0,00107407
0,590332	-0,00135031
0,590938	-0,00140736
0,591543	-0,00118217
0,592148	-0,00126924
0,592754	-0,0012242
0,593359	-0,00123021
0,593965	-0,00116115
0,59457	-0,00138034
0,595176	-0,00137733
0,595781	-0,00138934
0,596387	-0,00141937
0,596992	-0,00136532
0,597598	-0,00149744
0,598203	-0,00129927
0,598809	-0,00135331
0,599414	-0,00138634
0,60002	-0,00120018
0,600625	-0,00135031
0,60123	-0,00118517
0,601836	-0,00123021
0,602441	-0,00119117
0,603047	-0,0012212
0,603652	-0,0012242
0,604258	-0,00101402
0,604863	-0,00129626
0,605469	-0,00123021
0,606074	-0,000917939
0,60668	-0,00114313
0,607285	-0,00097799
0,607891	-0,0012242
0,608496	-0,00123921
0,609102	-0,00113412
0,609707	-0,00100802
0,610313	-0,00115814
0,610918	-0,00097799
0,611523	-0,000857887
0,612129	-0,000986998
0,612734	-0,00100501
0,61334	-0,000746792
0,613945	-0,000806843
0,614551	-0,000848879
0,615156	-0,00100201
0,615762	-0,000797836
0,616367	-0,000941959
0,616973	-0,00059366
0,617578	-0,000878905
0,618184	-0,000836869
0,618789	-0,000956972
0,619395	-0,00097799
0,62	-0,000932952
0,620605	-0,000710761
0,621211	-0,000761805
0,621816	-0,000839872
0,622422	-0,000974988
0,623027	-0,000731779
0,623633	-0,000827861
0,624238	-0,000659717
0,624844	-0,000803841
0,625449	-0,000854885
0,626055	-0,000758802
0,62666	-0,000848879
0,627266	-0,000797836
0,627871	-0,000824859
0,628477	-0,000671727
0,629082	-0,000791831
0,629687	-0,000701753
0,630293	-0,000776818
0,630898	-0,000875903
0,631504	-0,00086089
0,632109	-0,000707758
0,632715	-0,000746792
0,63332	-0,000602668
0,633926	-0,000725774
0,634531	-0,00066272
0,635137	-0,00066272
0,635742	-0,000617681
0,636348	-0,00077982
0,636953	-0,000620684
0,637559	-0,000845877
0,638164	-0,000920941
0,63877	-0,000935954
0,639375	-0,000875903
0,63998	-0,000650709
0,640586	-0,00088491
0,641191	-0,00077982
0,641797	-0,000839872
0,642402	-0,00088491
0,643008	-0,000881908
0,643613	-0,000701753
0,644219	-0,000806843
0,644824	-0,00103804
0,64543	-0,00105906
0,646035	-0,00097799
0,646641	-0,0011011
0,647246	-0,00108608
0,647852	-0,00109509
0,648457	-0,00108608
0,649062	-0,0011041
0,649668	-0,0012242
0,650273	-0,000938957
0,650879	-0,00115214
0,651484	-0,000899923
0,65209	-0,00114013
0,652695	-0,00105906
0,653301	-0,000821856
0,653906	-0,000854885
0,654512	-0,00109809
0,655117	-0,00130227
0,655723	-0,0012272
0,656328	-0,000944962
0,656934	-0,000990001
0,657539	-0,00113112
0,658145	-0,0012212
0,65875	-0,00119718
0,659355	-0,00128125
0,659961	-0,00127525
0,660566	-0,00132329
0,661172	-0,00105606
0,661777	-0,00130827
0,662383	-0,00128726
0,662988	-0,0012182
0,663594	-0,00144039
0,664199	-0,00143138
0,664805	-0,00144339
0,66541	-0,00120619
0,666016	-0,00143138
0,666621	-0,00104405
0,667227	-0,00127525
0,667832	-0,00131428
0,668438	-0,0013443
0,669043	-0,00128726
0,669648	-0,00135631
0,670254	-0,00121219
0,670859	-0,00132329
0,671465	-0,00138634
0,67207	-0,00140736
0,672676	-0,00132329
0,673281	-0,00123021
0,673887	-0,00153647
0,674492	-0,00125423
0,675098	-0,00140436
0,675703	-0,00141937
0,676309	-0,00149443
0,676914	-0,00155749
0,67752	-0,00144639
0,678125	-0,00172263
0,67873	-0,00136833
0,679336	-0,00153647
0,679941	-0,00150344
0,680547	-0,00154848
0,681152	-0,0015755
0,681758	-0,00158151
0,682363	-0,00155749
0,682969	-0,00132329
0,683574	-0,00155448
0,68418	-0,00146441
0,684785	-0,00138034
0,685391	-0,00128726
0,685996	-0,00138934
0,686602	-0,00128125
0,687207	-0,00158151
0,687813	-0,00135932
0,688418	-0,00152146
0,689023	-0,00115814
0,689629	-0,00153647
0,690234	-0,00151245
0,69084	-0,00144639
0,691445	-0,00158751
0,692051	-0,00156349
0,692656	-0,00129626
0,693262	-0,00138934
0,693867	-0,00144039
0,694473	-0,0013443
0,695078	-0,00131128
0,695684	-0,00125723
0,696289	-0,00161754
0,696895	-0,00128425
0,6975	-0,00128425
0,698105	-0,00121219
0,698711	-0,00112211
0,699316	-0,00128726
0,699922	-0,00108608
0,700527	-0,00133229
0,701133	-0,00116715
0,701738	-0,00129326
