Time - Force	Amplitude - Force
0,350566	0,389251
0,351172	0,399696
0,351777	0,425808
0,352383	0,409561
0,352988	0,429
0,353594	0,42871
0,354199	0,45105
0,354805	0,439735
0,35541	0,467588
0,356016	0,461785
0,356621	0,487027
0,357227	0,463526
0,357832	0,473101
0,358438	0,480644
0,359043	0,488478
0,359648	0,506756
0,360254	0,499213
0,360859	0,501534
0,361465	0,510528
0,36207	0,503565
0,362676	0,510818
0,363281	0,49341
0,363887	0,512269
0,364492	0,511979
0,365098	0,488478
0,365703	0,51517
0,366309	0,518072
0,366914	0,49283
0,36752	0,507917
0,368125	0,487607
0,36873	0,485576
0,369336	0,480644
0,369941	0,481805
0,370547	0,47165
0,371152	0,465557
0,371758	0,446408
0,372363	0,459754
0,372969	0,434513
0,373574	0,456563
0,37418	0,405209
0,374785	0,427259
0,375391	0,355886
0,375996	0,438865
0,376602	0,310915
0,377207	0,461785
0,377812	0,243313
0,378418	0,463816
0,379023	0,15076
0,379629	0,505596
0,380234	0,0515334
0,38084	0,577259
0,381445	-0,10514
0,382051	0,66459
0,382656	-0,299821
0,383262	0,777453
0,383867	-0,557752
0,384473	1,0142
0,385078	-0,941601
0,385684	1,40676
0,386289	-1,57178
0,386895	2,24061
0,3875	-2,9035
0,388105	15,8834
0,388711	51,0475
0,389316	174,994
0,389922	209,494
0,390527	68,6327
0,391133	24,4444
0,391738	4,60521
0,392344	1,10734
0,392949	-1,82564
0,393555	0,389832
0,39416	-1,44063
0,394766	0,052694
0,395371	-1,22129
0,395977	-0,175353
0,396582	-1,10321
0,397187	-0,365972
0,397793	-0,9828
0,398398	-0,513361
0,399004	-0,951466
0,399609	-0,594019
0,400215	-0,892278
0,40082	-0,66046
0,401426	-0,838313
0,402031	-0,702239
0,402637	-0,813071
0,403242	-0,728061
0,403848	-0,813071
0,404453	-0,773032
0,405059	-0,800305
0,405664	-0,794502
0,40627	-0,826127
0,406875	-0,835411
0,40748	-0,851949
0,408086	-0,871388
0,408691	-0,885315
0,409297	-0,907075
0,409902	-0,910847
0,410508	-0,912297
0,411113	-0,946824
0,411719	-0,95959
0,412324	-0,96162
0,41293	-0,979029
0,413535	-1,00891
0,414141	-0,998468
0,414746	-1,04547
0,415352	-1,05998
0,415957	-1,09479
0,416563	-1,1006
0,417168	-1,1505
0,417773	-1,16297
0,418379	-1,21114
0,418984	-1,21172
0,41959	-1,24363
0,420195	-1,28106
0,420801	-1,28222
0,421406	-1,31036
0,422012	-1,31094
0,422617	-1,36346
0,423223	-1,38261
0,423828	-1,41452
0,424434	-1,41597
0,425039	-1,47922
0,425645	-1,48183
0,42625	-1,49808
0,426855	-1,5123
0,427461	-1,53986
0,428066	-1,54247
0,428672	-1,57149
0,429277	-1,58425
0,429883	-1,59528
0,430488	-1,6153
0,431094	-1,64634
0,431699	-1,64837
0,432305	-1,67419
0,43291	-1,68
0,433516	-1,68725
0,434121	-1,7035
0,434727	-1,71336
0,435332	-1,73425
0,435937	-1,72613
0,436543	-1,74267
0,437148	-1,73947
0,437754	-1,74528
0,438359	-1,76007
0,438965	-1,75804
0,43957	-1,75427
0,440176	-1,7592
0,440781	-1,75137
0,441387	-1,78154
0,441992	-1,75108
0,442598	-1,75978
